week,response_jakarta_to_bandung_shock
0,0.0
1,-0.20654769938474646
2,-0.30954735585894333
3,-0.3086589512834033
4,-0.2706530783226821
5,-0.22425680276687587
6,-0.17938265017274233
7,-0.14048118610986213
8,-0.10866918783478674
9,-0.08347678159632756
10,-0.06391763838765471
