,mean,std,min,max
precipitation_mm,150.6485632183908,84.84465396997743,0.3,464.6
temperature_mean_c,25.31359977412512,1.9439819337356115,21.8,30.0
bbm_price_idr,9199.565344827586,1107.3405519761372,7361.85,10502.6
luas_panen_ha,30233.024540229886,38418.6351000781,0.0,103088.97
