location,commodity,nearest_production_km,avg_production_distance_km,nearest_distribution_km,avg_distribution_distance_km,nearest_retail_km
Jakarta Pusat,Beras,21.189251966272735,145.90561289504896,0.2777326986119735,41.55365011225548,0.2165367544821562
Jakarta Pusat,Bawang Merah,,,0.2777326986119735,41.55365011225548,1.1747204186877591
Jakarta Pusat,Bawang Putih,,,0.2777326986119735,41.55365011225548,1.1747204186877591
Jakarta Pusat,Cabai,9.61136925837873,103.10467756663282,0.2777326986119735,41.55365011225548,1.1747204186877591
Jakarta Pusat,Daging Ayam,,,0.2777326986119735,40.36300441532412,2.115605989518265
Jakarta Pusat,Daging Sapi,,,0.2777326986119735,40.36300441532412,2.115605989518265
Jakarta Pusat,Telur Ayam,,,0.2777326986119735,41.55365011225548,0.2165367544821562
Jakarta Pusat,Minyak Goreng,,,0.2777326986119735,41.55365011225548,0.2165367544821562
Jakarta Pusat,Gula Pasir,,,0.2777326986119735,41.55365011225548,0.2165367544821562
Sukabumi,Beras,12.273490653262034,124.52903203316562,1.5511532684500013,79.94487166302511,0.29602053087804375
Sukabumi,Bawang Merah,,,1.5511532684500013,79.94487166302511,0.8593267590814538
Sukabumi,Bawang Putih,,,1.5511532684500013,79.94487166302511,0.8593267590814538
Sukabumi,Cabai,33.82881655932835,72.97181710030283,1.5511532684500013,79.94487166302511,0.8593267590814538
Sukabumi,Daging Ayam,,,1.5511532684500013,79.97429638195244,46.52133287074542
Sukabumi,Daging Sapi,,,1.5511532684500013,79.97429638195244,46.52133287074542
Sukabumi,Telur Ayam,,,1.5511532684500013,79.94487166302511,0.29602053087804375
Sukabumi,Minyak Goreng,,,1.5511532684500013,79.94487166302511,0.29602053087804375
Sukabumi,Gula Pasir,,,1.5511532684500013,79.94487166302511,0.29602053087804375
Tasikmalaya,Beras,4.031967221305058,76.74831543540137,2.3082478419302372,169.4962866966984,0.8256804566488847
Tasikmalaya,Bawang Merah,,,2.3082478419302372,169.4962866966984,66.59540206869296
Tasikmalaya,Bawang Putih,,,2.3082478419302372,169.4962866966984,66.59540206869296
Tasikmalaya,Cabai,69.44659465315341,98.2495042406161,2.3082478419302372,169.4962866966984,66.59540206869296
Tasikmalaya,Daging Ayam,,,2.3082478419302372,170.69397900985678,77.72666873301047
Tasikmalaya,Daging Sapi,,,2.3082478419302372,170.69397900985678,77.72666873301047
Tasikmalaya,Telur Ayam,,,2.3082478419302372,169.4962866966984,0.8256804566488847
Tasikmalaya,Minyak Goreng,,,2.3082478419302372,169.4962866966984,0.8256804566488847
Tasikmalaya,Gula Pasir,,,2.3082478419302372,169.4962866966984,0.8256804566488847
Kab. Tasikmalaya,Beras,7.022488062189574,78.21971842936563,1.3055281327923718,169.8268259277191,2.739251505261674
Kab. Tasikmalaya,Bawang Merah,,,1.3055281327923718,169.8268259277191,66.93482422249228
Kab. Tasikmalaya,Bawang Putih,,,1.3055281327923718,169.8268259277191,66.93482422249228
Kab. Tasikmalaya,Cabai,69.2917407768532,98.59018499864027,1.3055281327923718,169.8268259277191,66.93482422249228
Kab. Tasikmalaya,Daging Ayam,,,1.3055281327923718,171.02549296179205,80.82575402806269
Kab. Tasikmalaya,Daging Sapi,,,1.3055281327923718,171.02549296179205,80.82575402806269
Kab. Tasikmalaya,Telur Ayam,,,1.3055281327923718,169.8268259277191,2.739251505261674
Kab. Tasikmalaya,Minyak Goreng,,,1.3055281327923718,169.8268259277191,2.739251505261674
Kab. Tasikmalaya,Gula Pasir,,,1.3055281327923718,169.8268259277191,2.739251505261674
Kab. Cirebon,Beras,2.5399420329371947,86.36163025135419,4.625378190272571,152.5759162874957,2.746826355647588
Kab. Cirebon,Bawang Merah,,,4.625378190272571,152.5759162874957,20.40345825431267
Kab. Cirebon,Bawang Putih,,,4.625378190272571,152.5759162874957,20.40345825431267
Kab. Cirebon,Cabai,71.2486531865798,90.52985430217605,4.625378190272571,152.5759162874957,20.40345825431267
Kab. Cirebon,Daging Ayam,,,4.625378190272571,153.55308156478952,23.344213206700015
Kab. Cirebon,Daging Sapi,,,4.625378190272571,153.55308156478952,23.344213206700015
Kab. Cirebon,Telur Ayam,,,4.625378190272571,152.5759162874957,2.746826355647588
Kab. Cirebon,Minyak Goreng,,,4.625378190272571,152.5759162874957,2.746826355647588
Kab. Cirebon,Gula Pasir,,,4.625378190272571,152.5759162874957,2.746826355647588
Cirebon,Beras,4.633608273234478,98.82870259814295,0.8837233122781739,173.09472944588092,0.15444559929029514
Cirebon,Bawang Merah,,,0.8837233122781739,173.09472944588092,0.6940755208704512
Cirebon,Bawang Putih,,,0.8837233122781739,173.09472944588092,0.6940755208704512
Cirebon,Cabai,95.4958129790944,114.66035433270629,0.8837233122781739,173.09472944588092,0.6940755208704512
Cirebon,Daging Ayam,,,0.8837233122781739,174.08503368648843,0.9106316631667634
Cirebon,Daging Sapi,,,0.8837233122781739,174.08503368648843,0.9106316631667634
Cirebon,Telur Ayam,,,0.8837233122781739,173.09472944588092,0.15444559929029514
Cirebon,Minyak Goreng,,,0.8837233122781739,173.09472944588092,0.15444559929029514
Cirebon,Gula Pasir,,,0.8837233122781739,173.09472944588092,0.15444559929029514
Depok,Beras,8.66181260879688,135.8363603464577,2.447930496845281,45.61382397725324,0.9146866276405259
Depok,Bawang Merah,,,2.447930496845281,45.61382397725324,5.757038176199548
Depok,Bawang Putih,,,2.447930496845281,45.61382397725324,5.757038176199548
Depok,Cabai,11.557393987684705,92.64698137162192,2.447930496845281,45.61382397725324,5.757038176199548
