,price,precipitation_mm,temperature_mean_c,bbm_price_idr,luas_panen_ha,avg_distance_km
price,1.0,-0.046266858949270226,0.2513128213393962,0.5501032388534061,-0.2651983398009659,-0.07610556266249252
precipitation_mm,-0.046266858949270226,1.0,-0.21789102201562122,-0.05413929445429704,0.0646675928542088,0.07222394175728448
temperature_mean_c,0.2513128213393962,-0.21789102201562122,1.0,0.12209739561953438,0.3319277917934742,-0.0594013563832461
bbm_price_idr,0.5501032388534061,-0.05413929445429704,0.12209739561953438,1.0,-0.13906546872633,0.00036522551490880423
luas_panen_ha,-0.2651983398009659,0.0646675928542088,0.3319277917934742,-0.13906546872633,1.0,0.056496028843802504
avg_distance_km,-0.07610556266249252,0.07222394175728448,-0.0594013563832461,0.00036522551490880423,0.056496028843802504,1.0
