Variable,Coefficient,Std_Error,Z_stat,P_value,Sig
Constant,214.64977084368002,222.78784537383706,0.9634716404007526,0.33531088945465326,
price_lag1,0.9147851912870815,0.013413184385196886,0.33531088945465337,0.7373905801515526,
precipitation_mm,-0.28964050723922696,0.1792030259121178,68.20044853007914,0.0,***
rain_lag1,0.0893092460158158,0.18104267178432282,0.0,1.0,
rain_lag2,-0.525806640772231,0.17250161945186382,-1.616270181627783,0.10603591080836816,
rain_lag3,-0.13012016877968335,0.15181749340339235,0.1060359108083682,0.9155538600813009,
temperature_mean_c,24.025316578323327,22.764159721967303,0.49330494924539353,0.621797131856964,
temp_lag1,-31.527235124463914,22.650908487249758,0.621797131856964,0.5340752725232434,
bbm_price_idr,-0.036889956800662205,0.029416714811026513,-3.0481258230677435,0.002302734882926538,**
bbm_lag1,0.13395118080827828,0.029491285589786007,0.002302734882926485,0.998162685013045,
luas_panen_ha,-0.0008900454133816682,0.0006179991540793644,-0.8570828424491419,0.39139910270240197,
avg_distance_km,-0.5884055468051201,13.782496059485867,0.39139910270240197,0.6955022554677881,
month_2,94.46101299067959,54.87683877690756,1.0554009843437804,0.29124197289407605,
month_3,-102.87558151366466,56.121122539606645,0.29124197289407605,0.7708662634771604,
month_4,-277.9838201977145,53.75736041744142,-1.3918750827239736,0.16396022844227964,
month_5,-319.0333256582271,56.19802003969581,0.16396022844227964,0.8697624531346961,
month_6,-222.67140658666176,63.81296414931756,-1.2540474705501252,0.20982475166811465,
month_7,-211.87482934175205,56.75249415213008,0.20982475166811454,0.8338044540274692,
month_8,-179.4022811477189,59.973507505693476,4.542059734916095,5.5707250044001455e-06,***
month_9,-22.133143166152877,60.49980607924897,5.5707250043624144e-06,0.9999955552045265,
month_10,-277.6260448594694,63.11088628309761,-1.4402049056322286,0.14980943573371142,
month_11,-214.73035891360632,58.73449767259921,0.14980943573371133,0.8809149647359586,
month_12,-140.14415101853592,62.9142141231293,-0.042692233994882756,0.9659468703014304,
W_price_lag1,-0.2167019442892979,0.3098601649419354,0.9659468703014303,0.3340707672376686,
W_precipitation_mm,0.11154811320074032,0.3778792481535964,1.7213275235239907,0.08519140773404921,
W_rain_lag1,-0.022971583038497556,0.40023699871292856,0.08519140773404911,0.932109221384019,
W_rain_lag2,0.09846251926046534,0.47276000183137845,-1.8330991408994315,0.06678782886698054,
W_rain_lag3,-0.15579524066728823,0.29530569955620634,0.06678782886698051,0.9467506129314571,
W_temperature_mean_c,67.71071449232113,50.93055098719672,-5.171083885798892,2.3274005189755087e-07,***
W_temp_lag1,-59.74290597437357,51.09071306400722,2.3274005182221002e-07,0.9999998143003059,
W_bbm_price_idr,-0.04737232166638705,0.06215924838138961,-5.6769495692708745,1.3711787483217108e-08,***
W_bbm_lag1,0.015404845105450704,0.07484263300659921,1.3711787489764486e-08,0.9999999890595765,
W_luas_panen_ha,0.0008974299888503956,0.0006415340483260579,-3.4894383853667623,0.00048403662977225537,***
W_avg_distance_km,4.172173823812045,14.44526974761708,0.0004840366297722621,0.9996137946613224,
W_month_2,-68.8109210410621,132.58952564892357,-3.7333130905895135,0.0001889774437395797,***
W_month_3,-83.18145894329064,133.41298187767697,0.00018897744373948795,0.9998492178161977,
W_month_4,-6.441042220161762,167.52400990911542,-2.9913588284074875,0.0027773892275091416,**
W_month_5,40.30157975916518,176.64163331894585,0.0027773892275092123,0.9977839668650703,
W_month_6,11.146385936881416,163.6852130139936,-0.3658382497484467,0.7144857762480714,
W_month_7,8.964751700987108,159.5688172594528,0.7144857762480714,0.4749268484203326,
W_month_8,49.17328271229053,139.71269577704493,-4.399019903065811,1.0874085460299554e-05,***
W_month_9,3.8756782118507545,139.45730579274198,1.0874085460293923e-05,0.9999913237350986,
W_month_10,-97.51470725046238,170.03763408334822,-3.655949525789206,0.00025623177154665555,***
W_month_11,-20.359110360674094,147.61350121248108,0.0002562317715467007,0.9997955566277328,
W_month_12,10.540185742254835,161.87047864553895,-2.2275435364138865,0.025910969511097948,*
rho,0.2603329468790889,0.3278155493382815,0.02591096951109786,0.9793283505804882,
